Time,Voltage (V),Current (A),Power (W),Energy (kwh),Frequency (Hz),Power Factor
1638799744,nan,0,0,0,0,0
1638799744,nan,0,0,0,0,0
1638799744,nan,0,0,0,0,0
1638799744,nan,0,0,0,0,0
1638799744,nan,0,0,0,0,0
1638799744,nan,0,0,0,0,0
1638799744,nan,0,0,0,0,0
1638799744,237.3,0.04,0.5,0,50,0.06
1638799872,237.2,0.04,0.5,0,50,0.06
1638799872,237.4,0.04,0.4,0,50,0.05
1638799872,237.5,0.04,0.5,0,50,0.06
1638799872,237.6,0.05,1.4,0,50,0.13
1638799872,237.7,0.04,0.5,0,50,0.06
1638799872,nan,0.04,0.5,0,50,0.06
1638799872,nan,0.04,0.5,0,50,0.06
1638799872,237.8,0.06,5.9,0,50,0.42
1638799872,238,0.06,5.9,0,50,0.42
1638800000,237.4,0.06,5.8,0,50,0.41
1638800000,nan,0.06,5.8,0,50,0.41
1638800000,nan,0.06,5.8,0,50,0.41
1638800000,nan,0.06,5.8,0,50,0.41
1638800000,nan,0.06,5.8,0,50,0.41
1638800000,nan,0.06,5.8,0,50,0.41
1638800000,nan,0.06,5.8,0,50,0.41
1638800000,nan,0.06,5.8,0,50,0.41
1638800000,237.9,0.04,0.5,0,50,0.06
1638800000,238,0.04,0.5,0,50,0.06
1638800000,nan,0.04,0.5,0,50,0.06
1638800000,238,0.06,5.9,0,50,0.43
1638800000,238.1,0.06,5.8,0,50,0.42
1638800128,238.3,0.06,5.9,0,50,0.43
1638800128,238,0.09,10.7,0,50,0.47
1638800128,238,0.11,12.4,0,50,0.49
1638800128,238.3,0.11,12.3,0,50,0.48
1638800128,238.4,0.11,12.4,0,50,0.48
1638800128,238.5,0.11,12.4,0,50,0.49
1638800128,238.3,0.11,12.3,0,50,0.48
1638800128,238.3,0.11,12.4,0,50,0.49
1638800128,238.4,0.11,12.4,0,50,0.49
1638800128,238.2,0.11,12.3,0,50,0.48
1639145216,nan,0,0,0,0,0
1639145216,nan,0,0,0,0,0
1639145216,243.6,0.05,8.1,0.05,50,0.67
1639145216,243.5,0.05,6.6,0.05,50,0.59
1639145344,243.5,0.05,6.4,0.05,50,0.57
1639145344,243.5,0.05,6.4,0.05,50,0.57
1639145344,243.6,0.05,6.2,0.05,50,0.57
1639145344,243.6,0.05,6.1,0.05,50,0.56
1639145344,243.6,0.05,6,0.05,50,0.55
1639145344,243.6,0.04,6,0.05,50,0.56
1639145344,243.9,0.04,5.8,0.05,50,0.54
1639145344,243.8,0.04,5.7,0.05,50,0.53
1639145344,244,0.04,5.7,0.05,50,0.53
1639145344,243.9,0.04,5.6,0.05,50,0.52
1639145344,244,0.04,5.6,0.05,50,0.52
1639145344,243.9,0.04,5.5,0.05,50,0.51
1639145472,nan,0.04,5.5,0.05,50,0.51
1639145472,nan,0.04,5.5,0.05,50,0.51
1639145472,nan,0.04,5.5,0.05,50,0.51
1639145472,nan,0.04,5.5,0.05,50,0.51
1639145472,nan,0.04,5.5,0.05,50,0.51
1639145472,nan,0.04,5.5,0.05,50,0.51
1639145472,nan,0.04,5.5,0.05,50,0.51
1639145472,nan,0.04,5.5,0.05,50,0.51
1639145472,nan,0.04,5.5,0.05,50,0.51
1639145600,nan,0.04,5.5,0.05,50,0.51
1639145600,nan,0.04,5.5,0.05,50,0.51
1639145600,nan,0.04,5.5,0.05,50,0.51
1639145600,nan,0,0,0,0,0
1639145600,nan,0,0,0,0,0
1639145600,nan,0,0,0,0,0
1639145600,nan,0,0,0,0,0
1639145600,243.8,0.05,7.9,0.05,50,0.65
1639145600,243.8,0.05,7.1,0.05,50,0.62
1639145600,243.6,0.05,6.8,0.05,50,0.59
1639145600,243.7,0.05,6.6,0.05,50,0.59
1639145600,243.7,0.05,6.5,0.05,50,0.58
1639145600,243.6,0.05,6.4,0.05,50,0.57
1639145600,243.9,0.05,6.3,0.05,50,0.57
1639145728,243.9,0.05,6.1,0.05,50,0.56
1639145728,243.9,0.05,6.1,0.05,50,0.56
1639145728,243.9,0.05,6,0.05,50,0.55
1639145728,243.9,0.04,5.9,0.05,50,0.55
1639145728,244,0.04,5.8,0.05,50,0.54
1639145728,243.9,0.04,5.8,0.05,50,0.54
